id,name,area,image,term,source,last_seen
pasat-petr-semenovich,ПАСАТ Петр Семенович,13,http://vspmr.org/im.xp/049050054052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/pasat-petr-semenovich/,2016-06-03
pelin-vladimir-dmitrievich,ПЕЛИН Владимир Дмитриевич,10,http://vspmr.org/im.xp/049054052050053124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/pelin-vladimir-dmitrievich/,2016-06-03
petrik-oleg-anatoljevich,ПЕТРИК Олег Анатольевич,3,http://vspmr.org/im.xp/049054051057049124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/petrik-oleg-anatoljevich/,2016-06-03
pisarenko-sergey-andreevich,ПИСАРЕНКО Сергей Андреевич,6,http://vspmr.org/im.xp/049054052050052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/pisarenko-sergey-andreevich/,2016-06-03
safonov-andrey-mihaylovich,САФОНОВ Андрей Михайлович,20,http://vspmr.org/im.xp/049054050054048124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/safonov-andrey-mihaylovich/,2016-06-03
sipchenko-andrey-viktorovich,СИПЧЕНКО Андрей Викторович,14,http://vspmr.org/im.xp/049050055054124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/sipchenko-andrey-viktorovich/,2016-06-03
tidva-vladislav-sergeevich,ТИДВА Владислав Сергеевич,2,http://vspmr.org/im.xp/049055057048049124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/tidva-vladislav-sergeevich/,2016-06-03
turanskaya-tatjyana-mihaylovna,ТУРАНСКАЯ Татьяна Михайловна,22,http://vspmr.org/im.xp/049054052053053124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/turanskaya-tatjyana-mihaylovna/,2016-06-03
tyuryaeva-ilona-petrovna,ТЮРЯЕВА Илона Петровна,36,http://vspmr.org/im.xp/049054051057048124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/tyuryaeva-ilona-petrovna/,2016-06-03
hankevich-sergey-pavlovich,ХАНКЕВИЧ Сергей Павлович,4,http://vspmr.org/im.xp/049054056053057124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/hankevich-sergey-pavlovich/,2016-06-03
horjan-oleg-olegovich,ХОРЖАН Олег Олегович,40,http://vspmr.org/im.xp/049051048048124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/horjan-oleg-olegovich/,2016-06-03
cheban-sergey-fedorovich,ЧЕБАН Сергей Федорович,26,http://vspmr.org/im.xp/054057053124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/cheban-sergey-fedorovich/,2016-06-03
shinkaryuk-pavel-viktorovich,ШИНКАРЮК Павел Викторович,28,http://vspmr.org/im.xp/049054051053054124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/shinkaryuk-pavel-viktorovich/,2016-06-03
shkiljnyuk-porfiriy-vladimirovich,ШКИЛЬНЮК Порфирий Владимирович,16,http://vspmr.org/im.xp/049054052048052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/shkiljnyuk-porfiriy-vladimirovich/,2016-06-03
scherba-aleksandr-sergeevich,ЩЕРБА Александр Сергеевич,29,http://vspmr.org/im.xp/049054050056052124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/scherba-aleksandr-sergeevich/,2016-06-03
yarich-igorj-teodorovich,ЯРЫЧ Игорь Теодорович,30,http://vspmr.org/im.xp/049051055055124049048048124049053048124049.jpg,6,http://vspmr.org/structure/deputies/yarich-igorj-teodorovich/,2016-06-03
