id,name,image,party,party_id,area,term,source
311,Joana Gomes Rosa Amado,http://www.parlamento.cv/DepImag.aspx?CodDeputado=311,MPD,MPD,Maio,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=311
396,João Baptista Correia Pereira,http://www.parlamento.cv/DepImag.aspx?CodDeputado=396,PAICV,PAICV,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=396
313,João da Luz Gomes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=313,MPD,MPD,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=313
397,João de Brito Lopes de Pina,http://www.parlamento.cv/DepImag.aspx?CodDeputado=397,PAICV,PAICV,América,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=397
334,João do Carmo Brito Soares,http://www.parlamento.cv/DepImag.aspx?CodDeputado=334,PAICV,PAICV,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=334
391,João dos Santos Luis,http://www.parlamento.cv/DepImag.aspx?CodDeputado=391,UCID,UCID,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=391
314,João Gomes Duarte,http://www.parlamento.cv/DepImag.aspx?CodDeputado=314,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=314
394,Jorge Arcanjo Livramento Nogueira,http://www.parlamento.cv/DepImag.aspx?CodDeputado=394,MPD,MPD,Fogo,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=394
315,Jorge Pedro Maurício dos Santos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=315,MPD,MPD,Santo Antão,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=315
316,José Eduardo Mendes Moreno,http://www.parlamento.cv/DepImag.aspx?CodDeputado=316,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=316
404,José Filomeno de Carvalho Dias Monteiro,http://www.parlamento.cv/DepImag.aspx?CodDeputado=404,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=404
335,José Jorge Monteiro Silva,http://www.parlamento.cv/DepImag.aspx?CodDeputado=335,PAICV,PAICV,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=335
317,José Luís do Livramento Monteiro Alves de Brito,http://www.parlamento.cv/DepImag.aspx?CodDeputado=317,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=317
318,José Luís Santos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=318,MPD,MPD,Boa Vista,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=318
336,José Manuel Sanches Tavares,http://www.parlamento.cv/DepImag.aspx?CodDeputado=336,PAICV,PAICV,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=336
319,José Manuel Soares Tavares,http://www.parlamento.cv/DepImag.aspx?CodDeputado=319,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=319
