name,suplente,area,party,image,term,source
H.D. JAVIER O. ORTEGA S,"Oro Solís de Torrijos, Vielka Edith",8-8,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_JAVIER_ORTEGA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. AUSENCIO EUSEBIO PALACIO PINEDA,"Steel Beker de Jaén, Ceferina",12-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_AUSENCIO_PALACIO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. QUIBIAN TERIBE PANAY GONZALEZ,"Martínez Gordon, Miguel Ángelo",8-9,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_QUIBIAN_PANAY_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JAIME PEDROL GUERRA,"Bejerano Bejerano, Nicolás",12-2,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/hd_jaime_pedrol_guerra_pwc.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ALFREDO VICTOR PEREZ DIA,"Ayola Thompson, Juan José",8-4,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_ALFREDO_PEREZ_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. IVAN PICOTA BENITEZ,"Forero Gómez, Edgardo Alfonso",8-7,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_IVAN_PICOTA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. RAUL GILBERTO PINEDA VERGARA,"Plata Hernández, Enrique Abdiel",8-6,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_RAUL_PINEDA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JUAN MANUEL POVEDA GUEVARA,"Martínez Guevara, Ernesto",9-4,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/HD_JUAN_M_POVEDA_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. CRESCENCIA PRADO GARCIA,"Guerra Santos, Víctor",12-3,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_CRESCENCIA_PRADO_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. LUIS EDUARDO QUIROS,"Broce Urriola, Edison Augusto",8-8,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/HD_LUIS_E_QUIROS_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. SALVADOR REAL CHEN,"Rosales Guainora, Naiper",5-2,Partido Cambio Democrático,http://www.asamblea.gob.pa/fotdip/H.D_SALVADOR_REAL_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JUAN MIGUEL RIOS GONZALEZ,"Vega Tello, Luis Alberto",6-3,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/HD_JUAN_MIGUEL_RIOS_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. BENICIO E. ROBINSON G,"Quintero Miranda, Mónica",1-1,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_BENICIO_ROBINSON_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. ZULAY LEYSET RODRIGUEZ LU,"Sanjur Otero, César Diomedes",8-6,Partido Revolucionario Democrático,http://www.asamblea.gob.pa/fotdip/HD_ZULAY_RODRIGUEZ_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. JORGE ALBERTO ROSAS,"Guerra Atencio, Armando",4-6,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/HD_JORGE_A_ROSAS_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
H.D. MIGUEL LORENZO SALAS OGLESBY,"Mitre Tejada, Juan Eloy",3-1,Partido Panameñista,http://www.asamblea.gob.pa/fotdip/HD_MIGUEL_SALAS_PWC.jpg,2014,http://www.asamblea.gob.pa/diputados/
