party,page_id,district,term_id,image,name,region,details_url,chamber,term
M. RAVALOMANANA,rakotomanjato-rodin-edmond-georges,Arivonimamo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/78.jpg,RAKOTOMANJATO Rodin Edmond Georges,Itasy,http://www.assemblee-nationale.mg/?depute=rakotomanjato-rodin-edmond-georges,National Assembly,2013
Hasin’i Madagasikara,rakotonirina-joe-ernest,Iakora,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/79.jpg,RAKOTONIRINA Joe Ernest,Ihorombe,http://www.assemblee-nationale.mg/?depute=rakotonirina-joe-ernest,National Assembly,2013
Indépendant,rakotosolofondrabe-zakamady-zakamady,Ambositra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/80.jpg,RAKOTOSOLOFONDRABE Zakamady,Amoronimania,http://www.assemblee-nationale.mg/?depute=rakotosolofondrabe-zakamady-zakamady,National Assembly,2013
Indépendant,ralinjanahary-tsitohaina-valimandresy,Ikalamavony,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/81.jpg,RALINJANAHARY Tsitohaina Valimandresy,Haute Matsiatra,http://www.assemblee-nationale.mg/?depute=ralinjanahary-tsitohaina-valimandresy,National Assembly,2013
MAPAR,ramahasindy-koko-herisoa,Midongy Atsimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/82.jpg,RAMAHASINDRY Koko Herisoa,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=ramahasindy-koko-herisoa,National Assembly,2013
MAPAR,ramaherijaona-hajanirina-lanto,Tsiroanomandidy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/83.jpg,RAMAHERIJAONA Hajanirina Lanto,Bongolava,http://www.assemblee-nationale.mg/?depute=ramaherijaona-hajanirina-lanto,National Assembly,2013
MAPAR,ramamonjisoa-virapin,Fianarantsoa I,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/84.jpg,RATOVOSON Manoelina Hery,Haute Matsiatra,http://www.assemblee-nationale.mg/?depute=ramamonjisoa-virapin,National Assembly,2013
Indépendant,ramarolahy-maurice,Antsalova,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/85.jpg,RAMAROLAHY Maurice,Melaky,http://www.assemblee-nationale.mg/?depute=ramarolahy-maurice,National Assembly,2013
Indépendant,rambolamanana-jean-guy-honore,Betafo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/86.jpg,RAMBOLAMANANA Jean Guy Honoré,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=rambolamanana-jean-guy-honore,National Assembly,2013
MAPAR,randria-joseph,Beloha,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/87.jpg,RANDRIA Joseph,Androy,http://www.assemblee-nationale.mg/?depute=randria-joseph,National Assembly,2013
