name,twitter,area,source,id
Brian Storseth,@BrianStorseth,Westlock—St. Paul,http://politwitter.ca/user/BrianStorseth,@BrianStorseth
BRYAN HAYES,@BryanHayesCPC,Sault Ste. Marie,http://politwitter.ca/user/BryanHayesCPC,@BryanHayesCPC
Candice Hoeppner,@CHoeppnerMP,Portage—Lisgar,http://politwitter.ca/user/CHoeppnerMP,@CHoeppnerMP
Gail Shea,@CPCGailShea,Egmont,http://politwitter.ca/user/CPCGailShea,@CPCGailShea
Carol Hughes,@CarolHughesMP,AlgomaManitoulin,http://politwitter.ca/user/CarolHughesMP,@CarolHughesMP
Carolyn Bennett,@Carolyn_Bennett,St. Paul's,http://politwitter.ca/user/Carolyn_Bennett,@Carolyn_Bennett
Andrew Cash,@Cash4TO,Davenport,http://politwitter.ca/user/Cash4TO,@Cash4TO
Cathy McLeod,@Cathy_McLeod,KamloopsThompson,http://politwitter.ca/user/Cathy_McLeod,@Cathy_McLeod
Charlie Angus,@CharlieAngusMP,Timmins—James Bay,http://politwitter.ca/user/CharlieAngusMP,@CharlieAngusMP
Claude Gravelle,@ClaudeGravelle,Nickel Belt,http://politwitter.ca/user/ClaudeGravelle,@ClaudeGravelle
Colin Carrie,@ColinCarrie,Oshawa,http://politwitter.ca/user/ColinCarrie,@ColinCarrie
Costas Menegakis,@CostasMenegakis,"Richmond Hill, ON",http://politwitter.ca/user/CostasMenegakis,@CostasMenegakis
Craig Scott,@CraigScottNDP,Toronto—Danforth,http://politwitter.ca/user/CraigScottNDP,@CraigScottNDP
Joan Crockatt,@Crockatteer,Calgary Centre,http://politwitter.ca/user/Crockatteer,@Crockatteer
Djaouida Sellah,@DSellahNPD,Saint-Bruno—Saint-,http://politwitter.ca/user/DSellahNPD,@DSellahNPD
Dan Albas,@DanAlbas,Okanagan—Coquihall,http://politwitter.ca/user/DanAlbas,@DanAlbas
David Anderson,@DavidAndersonSK,Cypress Hills—Gras,http://politwitter.ca/user/DavidAndersonSK,@DavidAndersonSK
David McGuinty,@DavidMcGuinty,Ottawa South,http://politwitter.ca/user/DavidMcGuinty,@DavidMcGuinty
David Sweet,@DavidSweetMP,Ancaster—Dundas—,http://politwitter.ca/user/DavidSweetMP,@DavidSweetMP
Dean Allison,@DeanAllisonMP,Niagara West—Glanb,http://politwitter.ca/user/DeanAllisonMP,@DeanAllisonMP
Denis Blanchette,@DenisBlanchette,Louis-Hébert,http://politwitter.ca/user/DenisBlanchette,@DenisBlanchette
Denis Coderre,@DenisCoderre,Laval-des-Rapides,http://politwitter.ca/user/DenisCoderre,@DenisCoderre
Pierre Dionne Labelle,@DionneLabelleMP,Rivière-du-Nord,http://politwitter.ca/user/DionneLabelleMP,@DionneLabelleMP
Don Davies,@DonDavies,Taschereau,http://politwitter.ca/user/DonDavies,@DonDavies
Ed Holder,@EdHolder_MP,London West,http://politwitter.ca/user/EdHolder_MP,@EdHolder_MP
Brian Jean,@Elect_BrianJean,Fort McMurray—Atha,http://politwitter.ca/user/Elect_BrianJean,@Elect_BrianJean
Elizabeth May,@ElizabethMay,Saanich—Gulf Islan,http://politwitter.ca/user/ElizabethMay,@ElizabethMay
Francois Choquette,@F_Choquette,Drummond,http://politwitter.ca/user/F_Choquette,@F_Choquette
François Lapointe,@F_Lapointe,MontmagnyL'Islet,http://politwitter.ca/user/F_Lapointe,@F_Lapointe
Fin Donnelly,@FinDonnelly,New Westminster—Co,http://politwitter.ca/user/FinDonnelly,@FinDonnelly
Gary Schellenberger,@GSchellenberger,Perth—Wellington,http://politwitter.ca/user/GSchellenberger,@GSchellenberger
Royal Galipeau,@GalipeauOrleans,Alma-Lac-St-Jean,http://politwitter.ca/user/GalipeauOrleans,@GalipeauOrleans
