id,name,group,group_id,gender,term,constituency,area-constituency,area-district,area-sub_region,area-region,area_type,qualification,email,phone,twitter,facebook,image,summary,date_of_birth,date_of_death,start_date,end_date
mp_214,Odonga Otto,Forum for Democratic Change,FDC,male,10,Aruu County,Aruu County,Pader,Acholi,Northern,Rural,Post Graduate,,,,,,,1977,,,
mp_215,Ojara Okin,Forum for Democratic Change,FDC,male,10,Chua West County,Chua West County,Kitgum,Acholi,Northern,Rural,,,,,,,,,,,
mp_216,Onesmus Twinamatsiko,Independent,INDEP,male,10,Bugangaizi East,Bugangaizi East,Kibaale,Bunyoro,Western,Rural,,,,,,,,,,,
mp_217,Patrick Isiagi Opolot,National Resistance Movement,NRM,male,10,Kachumbala County,Kachumbala County,Bukedea,Teso,Eastern,Rural,,,,,,,,,,,
mp_218,Patrick Kasumba,National Resistance Movement,NRM,male,10,Bujenje County,Bujenje County,Masindi,Bunyoro,Western,Rural,,,,,,,,,,,
mp_219,Patrick Nsamba Oshabe,National Resistance Movement,NRM,male,10,Kassanda North,Kassanda North,Mubende,Buganda,Central,Rural,,,,,,,,,,,
mp_22,Anthony Ssemuli ,National Resistance Movement,NRM,male,10,Mubende Municipality,Mubende Municipality,Mubende,Buganda,Central,Urban,Bachelors,,,,,,,1974,,,
mp_220,Patrick Okabe,National Resistance Movement,NRM,male,10,Serere County,Serere County,Serere,Teso,Eastern,Rural,,,,,,,,,,,
mp_221,Paul Akamba,Independent,INDEP,male,10,Busiki County,Busiki County,Namutumba,Busoga,Eastern,Rural,,,,,,,,,,,
mp_222,Paul Amoru,National Resistance Movement,NRM,male,10,Dokolo North,Dokolo North,Dokolo,Lango,Northern,Rural,,,,,,,,,,,
mp_223,Paul Asaba Nsabimana,National Resistance Movement,NRM,male,10,Kyaka North,Kyaka North,Kyegegwa,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_224,Paul Lutamaguzi Semakula,Democratic Party,DP,male,10,Nakaseke South,Nakaseke South,Nakaseke,Buganda,Central,Rural,,,,,,,,,,,
mp_225,Paul Musoke,National Resistance Movement,NRM,male,10,Buikwe North,Buikwe North,Buikwe,Buganda,Central,Rural,,,,,,,,,,,
mp_226,Paul Reuben Chelimo,National Resistance Movement,NRM,male,10,Kongasis County,Kongasis County,Bukwo,Sebbei,Eastern,Rural,,,,,,,,,,,
mp_227,Paula Turyahikaho,National Resistance Movement,NRM,female,10,Rubabo County,Rubabo County,Rukungiri,Kigezi,Western,Rural,Masters,,,,,,,1961,,,
mp_228,Pentagon Innocent Kamusiime,National Resistance Movement,NRM,male,10,Butemba County,Butemba County,Kyankwanzi,Buganda,Central,Rural,,,,,,,,,,,
mp_229,Persis Namuganza,National Resistance Movement,NRM,female,10,Bukono County,Bukono County,Namutumba,Busoga,Eastern,Rural,,,,,,,,,,,
mp_23,Apollo Katinti,Forum for Democratic Change,FDC,male,10,Kyadondo East,Kyadondo East,Wakiso,Buganda,Western,Urban,,,,,,,,,,,
mp_230,Peter Lokeris Aimat,National Resistance Movement,NRM,male,10,Chekwii County,Chekwii County,Nakapiripirit,Karamoja,Northern,Rural,Bachelors,,,,,,,,,,
mp_231,Peter Mugema ,National Resistance Movement,NRM,male,10,Iganga Municipality,Iganga Municipality,Iganga,Busoga,Eastern,Urban,Post Graduate,,,@PMugema,https://www.facebook.com/mugema.peterpanadoligangasheart?fref=ts,,,1977,,,
mp_232,Peter Ocen Akalo,Independent,INDEP,male,10,Kole South,Kole South,Kole,Lango,Northern,Rural,,,,,,,,,,,
mp_233,Peter Ogwang,National Resistance Movement,NRM,male,10,Usuk County,Usuk County,Katakwi,Teso,Eastern,Rural,,,,,,,,,,,
mp_234,Peter Okot,Democratic Party,DP,male,10,Tochi County,Tochi County,Gulu,Acholi,Northern,Rural,,,,,,,,,,,
mp_235,Peter Sematimba,National Resistance Movement,NRM,male,10,Busiro  South,Busiro  South,Wakiso,Buganda,Central,Urban,,,,,,,,,,,
mp_236,Pius Wakabi,National Resistance Movement,NRM,male,10,Bugahya,Bugahya,Hoima,Bunyoro,Western,Rural,,,,,,,,,,,
mp_237,Raphael Magyezi,National Resistance Movement,NRM,male,10,Igara West,Igara West,Bushenyi,Ankole,Western,Rural,Masters,,,,,,,1960,,,
mp_238,Rehema Watongola,National Resistance Movement,NRM,female,10,Kamuli Municipality,Kamuli Municipality,Kamuli,Busoga,Eastern,Rural,,,,,,,,,,,
mp_239,Remigio Achia,National Resistance Movement,NRM,male,10,Pian County,Pian County,Nakapiripirit,Karamoja,Northern,Rural,Masters,,,,,,,1970,,,
mp_24,Apollo Masika,National Resistance Movement,NRM,male,10,Bubulo East,Bubulo East,Manafwa,Bugisu,Eastern,Rural,,,,,,,,,,,
