identifier__kuvakazim,name,area,party,term,start_date,end_date,,
186,Bekithemba Mpofu,Hwange West,ZANU PF,8,,,,
187,Sithemba Gumbo,Lupane East,ZANU PF,8,,,,
188,Martin Khumalo,Lupane West,ZANU PF,8,,,,
189,Sithembiso Nyoni,Nkayi North,ZANU PF,8,,,,
190,Abednico Bhebhe,Nkayi South,MDC-T,8,,,,
191,Roselyn Nkomo,Tsholotsho North,MDC-T,8,,,,
192,Zenzo Sibanda,Tsholotsho South,ZANU PF,8,,,,
193,Obert Mpofu,Non Constituency,ZANU PF,2,,,,1905-06-09
193,Obert Mpofu,Bubi Umguza,ZANU PF,5,,,,
193,Obert Mpofu,Umguza,ZANU PF,7,,,,
194,Kembo Mohadi,Beitbridge East,ZANU PF,7,,,,
195,Metrine Mdau,Beitbridge West,ZANU PF,8,,,,
196,Mathias S. Ndlovu,Bulilima East,ZANU PF,8,,,,
197,Lungisani Nleya,Bulilima West,ZANU PF,8,,,,
198,Edson Gumbo,Gwanda Central,ZANU PF,8,,,,
199,Madodana Sibanda,Gwanda North,ZANU PF,8,,,,
200,Abednico Ncube,Gwanda South,ZANU PF,8,,,,
201,Andrew Langa,Insizo North,ZANU PF,8,,,,
202,Malach Nkomo,Insiza South,ZANU PF,8,,,,
203,Obedingwa Mguni,Mangwe,ZANU PF,8,,,,
204,Never Khanye,Matobo North,ZANU PF,8,,,,
205,Soul Ncube,Matobo South,ZANU PF,8,,,,
206,William M. Dhewa,Umzingwane,ZANU PF,8,,,,
208,Joseph Made,Non Constituency,ZANU PF,8,,,,
210,Oppah Muchinguri,Manicaland,ZANU PF,8,,,,
217,Jacob Mudenda,,ZANU PF,8,,,,
220,Flora Buka,Gokwe-Nembudziya,ZANU PF,5,,,,
220,Flora Buka,Gokwe-Nembudziya,ZANU PF,7,,,,
225,Rossy Mpofu,Matebeleland South,ZANU PF,8,,,,
226,Nomathemba Ndlovu,Matebeleland South,MDC-T,8,,,,
227,Sipho Dube,Matebeleland South,MDC-T,8,,,,
